scientificname;longitude;latitude
Leandra hatschbachii;-49.0631;-25.4419
Pabstiella bacillaris;-49.6356;-25.5842
Rhamnidium glabrum;-49.0553;-25.3058
Plinia hatschbachii;-49.0553;-25.3058
Myrceugenia kleinii;-48.3289;-25.3069
Ocotea odorifera;-48.3289;-25.3069
Symplocos neglecta;-48.3289;-25.3069
Pamphalea smithii;-49.7056;-24.2511
Ocotea odorifera;-50.2972;-25.6833
Leandra hatschbachii;-49.0553;-25.3058
Citronella engleriana;-49.2064;-25.5347
Eryngium ombrophilum;-48.8342;-25.4769
Ipomoea subrevoluta;-53.9017;-23.8744
Byrsonima brachybotrya;-50.03;-25.22
Moquiniastrum argyreum;-50.03;-25.22
Gomphrena paranensis;-50.03;-25.22
Paepalanthus hydra;-50.012929;-25.234872
Byrsonima brachybotrya;-50.012929;-25.234872
Ocotea odorifera;-49.98;-25.42
Lippia pumila;-50.012929;-25.234872
Ocotea odorifera;-50.1617;-25.095
Oxalis praetexta;-50.012929;-25.234872
Stevia leptophylla;-49.7156;-25.7697
Eryngium ombrophilum;-50.5842;-25.0242
Eryngium ombrophilum;-50.5842;-25.0242
Nectandra paranaensis;-50.5842;-25.0242
Myrceugenia gertii;-49.2064;-25.5347
Ocotea porosa;-49.9483;-24.5261
Myrcia rupicola;-48.97;-25.87
Plinia cordifolia;-48.97;-25.87
Xyris lucida;-48.97;-25.87
Ocotea porosa;-48.5744;-25.8831
Eryngium scirpinum;-49.6356;-25.5842
Byrsonima brachybotrya;-49.6356;-25.5842
Eryngium scirpinum;-49.67;-25.5
Plinia cordifolia;-48.5744;-25.8831
Citronella engleriana;-48.5744;-25.8831
Citronella engleriana;-48.5744;-25.8831
Baccharis aracatubensis;-48.5744;-25.8831
Lessingianthus exiguus;-49.3142;-25.1903
Mimosa kuhnisteroides;-49.3142;-25.1903
Ocotea odorifera;-49.3142;-25.1903
Citronella engleriana;-48.92;-25.32
Grammitis fluminensis;-48.8211;-25.1353
Dyckia reitzii;-49.0631;-25.4419
Lessingianthus asteriflorus;-49.4633;-24.1131
Nectandra paranaensis;-48.8342;-25.4769
Dicksonia sellowiana;-50.5842;-25.0242
Xyris hatschbachii;-49.5281;-25.4586
Cedrela fissilis;-50.4606;-25.3683
Cedrela fissilis;-50.4606;-25.3683
Zygostigma australe;-49.65;-24.2
Passiflora setulosa;-49.68;-24.23
Callisthene kuhlmannii;-48.3289;-25.3069
Araucaria angustifolia;-48.8342;-25.4769
Cuphea glaziovii;-52.2028;-24.8933
Plinia cordifolia;-49.0767;-25.3658
